complaint_id,stratum,stored_issue,stored_sub_issue
24248514,neighbor_credit_damage_threat,Attempts to collect debt not owed,Debt is not yours
24273439,pos_sued_no_notice,Took or threatened to take negative or legal action,Sued you without properly notifying you of lawsuit
24379057,pos_wrong_amount,False statements or representation,Attempted to collect wrong amount
24402201,random,False statements or representation,Attempted to collect wrong amount
24408170,random,Written notification about debt,Didn't receive enough information to verify debt
24424146,neighbor_identity_theft,Attempts to collect debt not owed,Debt was paid
24435171,pos_credit_damage_threat,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged
24457180,neighbor_identity_theft,Attempts to collect debt not owed,Debt is not yours
24525867,random,False statements or representation,Attempted to collect wrong amount
24528862,far,Written notification about debt,Didn't receive notice of right to dispute
24644353,far,Written notification about debt,Didn't receive notice of right to dispute
24659738,far,Written notification about debt,Didn't receive notice of right to dispute
24664654,neighbor_credit_damage_threat,Attempts to collect debt not owed,Debt is not yours
24674081,far,Attempts to collect debt not owed,Debt was paid
24695585,random,Written notification about debt,Didn't receive enough information to verify debt
24710617,random,Written notification about debt,Didn't receive enough information to verify debt
24710681,far,Attempts to collect debt not owed,Debt was paid
24729674,far,Written notification about debt,Didn't receive notice of right to dispute
