complaint_id,narrative
23787349,"Multiple calls, refusal to verify debt but demanding I verify my identity."
23792431,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/year> Via Certified Mail Midland Credit Management Attn : Compliance Department RE : Cease and Desist Communication To Whom It May Concern, This letter serves as formal notice that, pursuant to the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692c ( c ), I hereby demand that you immediately cease all communication with me regarding any alleged debt you claim I owe. Effective upon receipt of this letter, you are instructed to stop contacting me by telephone, text message, email, voicemail, social media, or regular mail, except as permitted by law. The only communications I will accept are those informing me that : XXXX. You are terminating your collection efforts ; or XXXX. You intend to pursue a specific legal remedy that you are legally entitled to pursue. Any continued communication beyond what is allowed under the FDCPA may constitute a violation of federal law. I will keep records of any future contact and reserve all rights and remedies available to me. This letter is not an acknowledgment of liability for any alleged debt, nor should it be construed as a promise to pay. I expressly reserve all legal rights and defenses. Please confirm in writing that you have received and will comply with this request. Sincerely, XXXX XXXX XXXX"
23801363,"I am disputing the alleged debt reported by Jefferson Capital LLC associated with account ending in XXXX and a balance of {$620.00} because I have no knowledge of this account and do not believe it belongs to me. The account is associated with an address where I have never lived and with which I have no connection. I have filed and attached an FTC Identity Theft Report regarding this matter. Pursuant to FCRA 605B, I request that this account be blocked and deleted and that all collection activity related to this alleged debt cease immediately."
23804701,"I called on XX/XX/year> regarding the remaining line on my account because I switched my other XXXX lines to a new company, they stated it would cost {$30.00} per month. I received a notification saying my installments on my devices were paid off so I called asking why they were not unlocked, they stated because I owed a balance. I paid the balance which included additional money for the lines I did not have, the devices were unlocked but I continued getting charged for 3 lines when I only had 1 and they refused to fix it on their end, one representative admitted to seeing the mistake and fixed it but it was never resolved. When I received a bill in the mail I called in and requested the account being adjusted so I could pay, they stated they could not help because I did not have active lines."
23815786,"This third-party collection company, which is formerly known as Nationwide Recovery Systems that has unlawfully sent me no information that has ask for from the previous complaint that asked you, the CFPB, to have them about this so-called debit. I was not provided any information by XXXX XXXX that they was non profit under ( XXXX ( c ) ( XXXX ). That XXXX XXXX did not offer me or send me any in the mail to let me know what help i could get at the time. Because XXXX XXXX did not disclose any information to help me at that time while being homeless and injury that time. Nor did they commuinte and what they could provide to me. So both companies are breaking the law and statute"
23816642,"I first called XXXX XXXX XXXX Solutions since they are listed as the original creditor on my credit report. They have no record of the account. They could not find my name or any info in their system. I contacted Lockhart, Morris, & Montgomery to provide information on the collection account of {$980.00}, with no results. I've called numerous times, but they were not willing to help. On XX/XX/year>, I disputed this collection account on all three credit report agencies. The only thing the dispute did was change the account type from joint to individual."
23821925,I received a letter in the mail from Credit Control LLC saying that I owe a debt to XXXXXXXX XXXX XXXX XXXXXXXX amount of {$540.00}. I have already notified Credit Control that I am a XXXX XXXX XXXX XXXX so they are to cease and desist contacting me. They did not provide a written validation of debt within the time frame required by law after their first contact with me. I am filing this complaint because Credit Control and XXXX XXXX are attemtpting to collext exempt funds. The United States Department of Veteran Affairs has already determined that as a permanent aXXXX XXXX XXXX XXXX XXXX my income is exempt from the claims of creditors. Since both companies are now in violation of consumer protection laws I am filing this complaint and have notified the Texas Attorney General.
23830833,"I am correcting and updating my complaint. This L J Ross Associates , IncXXXX collection account is not related to XXXX. The account being reported by L J Ross Associates is associated with an alleged XXXX account. I am the victim of identity theft and I do not recognize this XXXX account. I did not open, authorize, use, benefit from, or agree to accept responsibility for this account. L J Ross Associates is now reporting this alleged account on my consumer credit report with a balance of approximately {$4700.00}. I have submitted an FTC Identity Theft Report regarding fraudulent accounts and unauthorized activity. I request that L J Ross Associates conduct a reasonable investigation, provide documentation proving this account belongs to me, and remove this collection account from all consumer reporting agencies if it can not verify that I personally opened and authorized this account. I request deletion of this collection account, cessation of collection activity, and written confirmation of the results of the investigation."
23832990,"I am submitting this complaint because I believe XXXX accounts are being reported inaccurately on my credit report and I am not responsible for them. The accounts are : Jefferson Capital Systems LLC Balance of {$820.00} XXXX XXXX XXXX of approximately {$1100.00} XXXX disputed the XXXX XXXX collection account with all three major credit bureaus ( Experian, Equifax, and TransUnion ) on XX/XX/year>. The account continues to show as under review and the matter has not been resolved. I have also sent several dispute letters and emails to XXXX XXXX XXXX regarding the Jefferson Capital Systems LLC account. I do not recognize this account, have never done business with Jefferson Capital Systems LLC, and do not believe I authorized or agreed to this debt. I have requested that these accounts be investigated and that documentation be provided showing that I am legally responsible for these debts. To date, I have not received sufficient evidence proving that these accounts belong to me. I am requesting that the companies and the credit bureaus conduct a thorough investigation. If they can not verify that I am legally responsible for these accounts, I request that they be removed from my credit reports in accordance with the Fair Credit Reporting Act."
23840232,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Re : Complaint Regarding Debt Collection Practices * * I am submitting this complaint regarding debt collection efforts concerning Account No. XXXX XXXX XXXX XXXX XXXX I dispute this alleged debt in its entirety. To the best of my knowledge, this alleged debt is more than eight years old, and I do not recognize it. I have never been provided with sufficient documentation demonstrating that I applied for or agreed to this account, nor have I been provided documentation establishing that the collector has the legal authority to collect it. I have received multiple telephone calls and collection letters that I believe are misleading and intimidating. During these communications, I was told that I could be taken to court and, according to my recollection, I was threatened with jail. I also received correspondence that appeared to come from another debt collector. After researching the telephone numbers used to contact me, I believe the communications originated from Portfolio Recovery Associates , LLC. Additionally, I have retained recordings and voicemail messages that reference what I believe to be fictitious or misleading court dates and legal proceedings. Based on my investigation, I believe these communications originated from or were connected to Portfolio Recovery Associates , LLC. I request that these communications be investigated to determine whether they comply with applicable federal and state debt collection laws. The only documentation I have received is a billing statement referencing an address that I do not recognize, dated XX/XX/XXXX. This does not establish that I incurred or owe the alleged debt. I have attempted on numerous occasions to resolve this matter and have requested that these collection efforts cease. Despite those requests, I continue to receive collection letters and telephone calls concerning this alleged debt. Because of these repeated communications and what I believe to be misleading collection practices, I have consulted with legal counsel regarding my rights and potential legal action. I reserve all rights and remedies available under federal and state law should these collection efforts continue in violation of applicable law. I respectfully request that this matter be investigated and that Portfolio Recovery Associates , LLC be required to : 1. Cease collection efforts unless and until it can fully validate the alleged debt. 2. Provide complete documentation establishing my legal responsibility for the account and its legal authority to collect it. 3. Correct or remove any inaccurate information reported to consumer reporting agencies. 4. Cease any misleading, deceptive, or threatening collection communications. 5. Preserve all records, recordings, notes, and communications relating to this account and all telephone calls made to me. Nothing in this complaint should be construed as an acknowledgment of liability for the alleged debt or as a promise to pay. I expressly dispute this alleged debt and request a prompt written response. Respectfully, XXXX XXXX XXXX XXXX XXXX XXXX"
23851326,I learned about this that on XX/XX/year> I dont recall the date. The only reason I found out about this is the fact that I pulled my credit report to look at it and it was on there. I attempted to contact the company to get validated information of it to only be told that they are not liable to send me the information. This was over {$4000.00}. I never received any notification where I could actually appeal the debt or breakdown of the cost of why Im being charged so much.
23872749,"WHAT HAPPENED This complaint concerns new conduct by Global Solution Biz, LLC ( GSB ) occurring on XX/XX/year> after, and in response to, my prior complaint No. XXXX filed XX/XX/year>. It is not a duplicate of that complaint. XXXX. On XX/XX/year>, I filed complaint XXXX. XXXX regarding GSBs email falsely claiming it had initiated the process of freezing and attaching my bank account and threatening unannounced XXXX XXXX Enforcement team visits to my home and business. The same day, I sent GSB a written dispute and validation demand by email and certified mail, demanding an itemization, the underlying agreements, the complete chain of title, any judgment supporting its enforcement claims, and cessation of collection pending validation. XXXX. On XX/XX/year>, GSB responded to that complaint and marked it Closed with explanation. GSBs response did not address a single allegation. Instead, it was a new collection demand transmitted through the Bureaus portal : it demanded payment of {$16000.00} in full within five ( 5 ) days; stated that if I paid, no further lien enforcement action will be considered; warned the author had a limited amount of time to decide whether lien enforcement is appropriate; and solicited a phone call. No judgment or lien exists, so the threatened lien enforcement can not legally occur. XXXX. GSBs XX/XX/XXXX response repeats a false statement of who owns the debt. It describes the account as my Merchant Cash Advance with XXXX and states it has been assigned to Global Solution Biz, LLC for collection efforts and possible lien enforcement. Attached is XXXX written notice to me dated XX/XX/year>, stating that as of XX/XX/year>, the debt and all servicing information are owned by XXXX XXXX XXXX XXXX XXXX and that payments must be made to Landmark, not to XXXX. XXXX owned nothing on XX/XX/XXXX or XX/XX/year>, that it could have assigned to GSB or retained GSB to enforce. GSB has now misrepresented the identity of the current creditor twice : in its XX/XX/XXXX collection email and in its XX/XX/XXXX formal response to a federal complaint. XXXX. GSBs XX/XX/XXXX response also misdescribes the nature of the debt. It calls the account a XXXX XXXX XXXX under a Purchase and Sale Agreement with an unremitted receivables balance, and calls me the indemnitor. Fundboxs own XX/XX/year> notice describes the account as a loan ( the servicing of your loan ; payments against the loan ). GSBs description is inconsistent with the original creditors characterization of its own product, indicating GSB is not working from the actual account documents. GSB has never produced any agreement, assignment, guarantee, indemnity, or judgment. 5. GSB is continuing to collect a disputed debt it has never validated. GSB received my written dispute and validation demand by email on XX/XX/year>. Its answer, two days later, was a five-day payment ultimatum filed through this portal with no validation of any kind. In addition, the alleged debt was previously disputed in writing with XXXX XXXX XXXX XXXX XXXX ( now its owner, previously its collector ) on or about XX/XX/year> ; that dispute was never answered. No party in this debts chain has ever validated it. XXXX. This conduct misrepresenting the current creditor, misrepresenting the character and legal status of the debt, threatening lien enforcement that can not legally occur, demanding payment within five days through a federal complaint portal, and continuing collection after a written dispute without validation is deceptive and unfair. I ask the Bureau to record it as new conduct in GSBs complaint history and to review it together with complaint No. XXXX and my feedback filed there."
23873613,Filed police report back in XXXX for fraud ( because debt does not belong to me ) to resolve debt but no communication was provided by debt collectors or apartment complex.
23873633,This company is violating my rights they have not provided validation Information Under 12 CFR 1006.34 ( b ) ( 5 ) yet they have placed a collection on your consumer report recently.
23877075,"I was originally contacted by several family members who were provided with personal details including my full social! They stated a law firm called them saying I was facing legal action and potential jail sentence because and I quote she is a scumbag who doesnt pay her bills I was given a claim number by multiple family members who were yelled at when they asked questions because it seemed sketchy. I confirmed my address when they requested and they threatened to Have people show up at my house, place of employment and such to quote find me and that they would tell my coworkers / employer my details. This is absolutely terrifying. My cousin was given my full social. My brother was given details on the supposed debt and pressured to confirm my personal details and curse at when he wouldnt."
23888383,"I am filing a formal complaint against Capital One and its third-party debt buyer, XXXX XXXX XXXX XXXX for critical violations of the Fair Credit Reporting Act ( FCRA ) and the Fair Debt Collection Practices Act ( FDCPA ) regarding incomplete, unverified, and legally unsubstantiated consumer data reporting. This dispute involves two separate accounts transferred from Capital One to XXXX XXXX XXXX : Account XXXX : Alleged balance of {$440.00}, marked as opened on XX/XX/XXXX. Account XXXX : Alleged balance of {$290.00}, marked as opened on XX/XX/XXXX. A review of my consumer profile reveals that both of these trade lines are completely devoid of any underlying account metrics, showing absolutely no payment information and an entirely blank history grid. Furthermore, the companies are in direct violation of federal law for the following reasons : 1. Violation of XXXX XXXX. XXXX ( b ) ( FDCPA ) Failure to Provide Original Contract and Chain of Title : Because XXXX XXXX XXXX is a third-party debt buyer and not the original creator of this alleged debt, they are strictly required by law to validate the account upon consumer dispute. XXXX XXXX XXXX has failed to produce a copy of the original signed contract, user agreement, or a complete, legally binding "" XXXX of XXXX '' ( bills of sale ) showing a lawful, unbroken transfer of assignment from Capital One to their agency. Without the underlying contract or proof of ownership, XXXX XXXX XXXX has XXXX legal standing to enforce this obligation or report it to my consumer files. XXXX. Violation of XXXX XXXX. XXXX ( a ) ( XXXX ) ( A ) ( FCRA ) Duty to Provide Complete and Accurate Information : It is a legal and structural impossibility to report that a consumer owes delinquent collection balances ( {$440.00} and {$290.00} ) while simultaneously providing a 100 % blank payment history grid. A trade line can not be reported with severe negative collection statuses if the data furnisher fails to supply the actual historical payment data or a verifiable account ledger to justify it. XXXX. Unlawful Double Reporting and Liability Inflation : Capital One and XXXX XXXX XXXX are double-reporting active collection balances for the exact same underlying credit accounts, artificially inflating my debt-to-income liabilities and misrepresenting my credit standing. Prior attempts to dispute these glaring omissions and lack of contractual proof have been ignored. Because these trade lines lack any verifiable contract or payment history, they fail the statutory mandate for accuracy and validation. I demand that the CFPB compel the immediate deletion of these unverified trade lines."
23896462,"I have been receiving repeated calls daily throughout the day from this so-called debt collector. I have even been receiving harassing calls on weekends. I have also received threatening letters demanding that I sue in court. None of this information was sent to me from the original creditors, XXXX XXXX and XXXX. Your actions have caused and continue to cause harm to me, including but not limited to harassment, defamation, trespassing, interference with business, or other issues."
23899303,"To Whom It May Concern, I am filing this complaint regarding my former apartment complex, XXXX XXXX, because they are attempting to report a balance to my credit that I do not owe. While I lived at the property, there were serious habitability issues, including mold throughout the apartment and a broken air conditioning system. I repeatedly requested that these issues be repaired, but the apartment complex failed to properly address or fix them. Because of the unsafe living conditions, I had to contact the health/code enforcement department regarding the mold and the lack of repairs. Due to the apartment complexs failure to fix these issues, I moved out. The apartment then attempted to evict me for nonpayment. However, the judge ruled that because the apartment complex failed to make the necessary repairs, my lease was terminated and I did not owe the remaining rent or balance they were claiming. Despite the courts ruling, the apartment complex is now attempting to report the unpaid amount to my credit report. This is inaccurate and unfair because the court already determined that my lease was terminated and that I did not owe the remainder. I am requesting that the apartment complex immediately stop all collection efforts, remove or correct any negative credit reporting, and provide written confirmation that I do not owe this balance. I am also requesting that they update any collection agency or credit reporting agency they contacted and confirm that the account balance is {$0.00}. I have documentation showing the habitability issues, my contact with health/code enforcement, and the courts ruling. I am willing to provide these documents if needed."
23924892,"I am a XXXX XXXX filing this complaint against Monterey Financial Services , Inc. regarding an ongoing fraudulent consumer account. On XX/XX/XXXX, I purchased a puppy from XXXX XXXX ( franchisee XXXX XXXX XXXX XXXX XXXX ), which utilized Monterey Financial Services for financing. XXXX explicitly assured me the puppy was perfectly healthy, despite having performed a XXXX XXXX extraction on the puppy just days prior on XX/XX/XXXX, and rushing him from XXXX XXXX, FL. Within weeks, the puppy fell severely ill with XXXX due to a hidden, pre-existing weak immune system. On XX/XX/XXXX, a veterinary hospital confirmed there was no chance of recovery, and the puppy was humanely XXXX XXXX XXXX XXXX XXXX engaged in overt consumer fraud, neglect, and misrepresentation. In XX/XX/XXXX, XXXX XXXX permanently shut down and filed for Chapter XXXX bankruptcy protection. For XXXX years, I have continuously disputed this account. Monterey Financial Services continues to illegally add predatory charges, interest, and collection marks against my credit profile for a fraudulent transaction involving XXXX XXXX property. As a XXXX Veteran, I am being subjected to deceptive financing and abusive collection practices. I demand that Monterey Financial Services completely dissolve this account, clear the balance to {$0.00}, cease all collection attempts, and delete all associated negative remarks from my credit reports."
23926646,"I am disputing an inaccurate collection account reported by TekCollect for an alleged debt originating from XXXX. XXXX filed for Chapter XXXX bankruptcy and completely shut down all operations, failing to fulfill my treatment plan, complete my medical services, or deliver my remaining aligners. This constitutes a total breach of contract ; I can not be legally required to pay for services and products that were never rendered. TekCollect purchased this invalid, unfulfilled account and is trying to collect a debt that is not legally owed. Furthermore, XXXX has failed to conduct a reasonable investigation under the Fair Credit Reporting Act ( FCRA ), verifying a broken contract despite explicit email proof that the service was never fulfilled. I demand that TekCollect immediately cease all collection activities and completely delete this inaccurate trade line from my credit report."
23935982,"Velocity Investments , LLC is third party debt collector who bought from XXXXXXXX XXXX information is inaccurate. Attempted resolve no response. To whom this concerns. Writing in regards to legal documentation sent to me. I am willing to pay {$10.00} dollars a month or in XXXX total towards complaint. That is most I can afford at this time not working, and since moving from VA I don't have assets to help with this matter, and last nor can l afford legal fees. Please I take this a written statement and let me know if you accept this offer? Thank you for your consideration in this matter, XXXX XXXX XXXX XXXX No response to resolve"
23935988,"Remove this account from my credit report because the original creditor sold my account to a collection agency without properly notifying me and it's clearly violating my rights. In compliance to 15 U.S. Code 1692e ( 6 ) Debt collectors are legally obligated to adhere to 15 U.S. Code 1692e ( 6 ), which forbids them from providing false information or insinuating inaccuracies about the nature, amount, or legal standing of a debt. It is against the law to make deceptive statements or misrepresentations concerning the debt being pursued for collection."
23942703,"Spring Oaks Capital is actively reporting a collection account on my credit profile originating from XXXX XXXX for approximately {$2300.00}. I have previously disputed this account twice through the credit reporting agencies ( in XXXX ), but Spring Oaks Capital continues to verify the account without providing actual validation. On XX/XX/year>, I sent a formal written dispute and debt verification request directly to Spring Oaks Capital demanding a copy of the original signed contract, a complete itemized balance statement, and proof of their legal chain of title to collect on this FinWise Bank account. I am requesting that the CFPB compel Spring Oaks Capital to either produce the complete, original signed contract proving this debt and their legal right to collect it, or permanently delete the collection trade line from my credit files."
23945303,Third party called and threatened me several times from different numbers. Same person called and told me that if I didnt pay they were going to ruin my credit more than what it already was and that my check would be garnished and if I didnt do that I would eventually go to jail. Than another call the person said I was gon na be sued and that they have it where I will never be able to get a new apartment in my name. As of right now it is working. I dont know what they did.
23948431,"This company is breaking the law by failing to provide proper validation details as required under 12 CFR 1006.34 ( b ) ( 5 ). Despite this, they've added a collection to my credit report. I've already tried to resolve these issues directly with them, but they continue to violate my rights. For each violation listed, I am entitled to {$1000.00}. They must either compensate me or remove these accounts immediately."
23948616,"COMPLAINT FOR WILLFUL DECEPTIVE DEBT COLLECTION PRACTICES & OVERSHADOWING LITIGATION VIOLATIONSTARGET ENTITIES : XXXX XXXX XXXX XXXX ( XXXX XXXX XXXX XXXXXXXX XXXX, XXXX XXXX XXXX ACCOUNT : American Express National Bank Account XXXX in XXXX CASE FOOTPRINT : XXXX XXXXXXXX XXXX Case No. XXXX SENIOR VETERAN STATUS : I am an elder consumer over the age of XXXX and a retired Veteran of the XXXX XXXX XXXX with a 100 % Service-Connected Permanent & Total ( XXXX XXXX XXXX ) XXXX rating. XXXX percent ( 50 % ) of my overall rating is for a government-verified mental health condition. My entire household income consists exclusively of protected federal benefits ( VA XXXX, Social Security XXXX, and a Military Pension ), making me completely judgment-proof under 38 U.S.C. 5301 and 42 U.S.C. 407. My primary residence is a certified tax-exempt XXXX XXXX XXXX XXXX XXXX XXXX XXXX of the Florida Constitution.STATEMENT OF FACTUAL MISCONDUCT & STATUTORY VIOLATIONS : Deceptive Validation & Retaliatory Lawsuit : Prior to filing the lawsuit, I formally requested debt validation pursuant to 15 U.S.C. 1692g. The debt collection network responded by mailing a basic computer printout summary that failed to include original signed contracts or an unbroken chain of title. When I immediately sent a written response rejecting their insufficient computer printout and re-demanding admissible evidence, these entities completely refused to provide the contracts. Instead, they immediately launched a retaliatory, high-pressure lawsuit ( XXXX XXXX. XXXX ) to overshadow my dispute and bypass their federal verification duties.Complete Statutory Court Waiver : After they filed the lawsuit, I officially filed and served my formal, notarized Claim of Exemption and Answers to Interrogatories on XX/XX/year>. Plaintiff 's legal counsel, XXXX XXXX, P.A., took physical delivery of these documents via Certified Mail, signed for by their authorized mailroom agent, XXXX XXXX, on XX/XX/year>. Under Florida XXXX XXXX, counsel had a strict window to file a sworn objection. XXXX XXXX XXXX XXXX XXXX completely defaulted and failed to object, allowing the statutory deadline to permanently expire on XX/XX/year>, thereby legally waiving all collection claims.High-Pressure Corporate Redirection Scheme : On XX/XX/year>, American Express corporate counsel formally stated in writing under CFPB XXXX No : XXXX that they have entirely handed management of this debt over to XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Despite having actual written knowledge since XX/XX/year> that 100 % of my assets are legally immune and that all local collection rights have been statutorily waived, these XXXX entities are colluding to maintain bad-faith litigation.Collateral Credit Manipulation : While maintaining this frivolous litigation, these entities have allowed American Express 's data systems to execute a predatory credit squeeze play across consecutive monthly cycles, intentionally inflating my reported "" Amount Past Due '' line on a closed, charged-off profile ( {$2900.00} in XXXX, to {$3200.00} in XXXX, and escalating to {$3400.00} on XX/XX/year> ) to induce financial panic and damage my credit score.RELIEF DEMANDED : Full federal regulatory enforcement investigation into the deceptive, retaliatory collection practices of XXXX XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX formal order compelling these entities to file an immediate, unconditional Notice of Voluntary Dismissal with Prejudice for Case No. XXXX corporate directive to execute permanent written debt cancellation and a total tradeline history deletion from XXXX XXXX XXXX XXXX"
23956564,"Im currently XXXX months behind on my student loan payments with Sallie Mae. For the past several weeks, Ive been getting multiple collection calls from them every XXXX day. I reached out to them to explain my financial hardship Im currently unemployed and actively looking for work and asked if they could temporarily pause my payments until I get back on my feet. They told me there was nothing they could do to help and continued calling me daily. On XX/XX/2026, I called them back and again explained that Im searching for a job and currently have no income to make payments. Because my account is XXXX days past due, the representative transferred me to another department. The person I spoke with there told me that if I couldnt make any payments, they would report the account again and pursue legal action against me. I felt she was threatening me to force a payment, even though I had clearly explained that I have no money right now and would need about XXXX months to get my finances in order. I ended the call after that and immediately called Sallie Mae back to escalate my complaint to a manager. The manager took down my complaint and said he would review the call recording. I also let him know that I will be looking into my own legal options regarding how Ive been treated."
