complaint_id,stratum,stored_issue,stored_sub_issue
24149347,stored_far,False statements or representation,"Impersonated attorney, law enforcement, or government official"
24154895,stored_neighbor_wrong_amount,False statements or representation,"Impersonated attorney, law enforcement, or government official"
24157666,random,Written notification about debt,Didn't receive enough information to verify debt
24157762,stored_positive_arrest_threat,Took or threatened to take negative or legal action,Threatened to arrest you or take you to jail if you do not pay
24178505,random,Attempts to collect debt not owed,Debt was result of identity theft
24196342,stored_neighbor_sued_no_notice,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged
24199424,stored_neighbor_identity_theft,Attempts to collect debt not owed,Debt is not yours
24207269,stored_neighbor_insufficient_validation,Written notification about debt,Didn't receive notice of right to dispute
24207294,random,Attempts to collect debt not owed,Debt is not yours
24363888,stored_far,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed
24402391,random,Attempts to collect debt not owed,Debt is not yours
24432150,stored_far,Attempts to collect debt not owed,Debt is not yours
24441403,stored_neighbor_sued_no_notice,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged
24482149,stored_neighbor_insufficient_validation,Written notification about debt,Didn't receive notice of right to dispute
24506985,stored_neighbor_arrest_threat,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged
24507687,stored_far,Attempts to collect debt not owed,Debt is not yours
24524886,stored_positive_wrong_amount,False statements or representation,Attempted to collect wrong amount
24632105,stored_positive_insufficient_validation,Written notification about debt,Didn't receive enough information to verify debt
24664069,stored_far,Attempts to collect debt not owed,Debt is not yours
24732836,stored_neighbor_identity_theft,Attempts to collect debt not owed,Debt is not yours
