complaint_id,stratum,stored_issue,stored_sub_issue,gold_identity_theft,gold_insufficient_validation,gold_wrong_amount,gold_credit_damage_threat,gold_arrest_threat,gold_sued_no_notice
24149347,stored_far,False statements or representation,"Impersonated attorney, law enforcement, or government official",NO,NO,NO,NO,NO,YES
24154895,stored_neighbor_wrong_amount,False statements or representation,"Impersonated attorney, law enforcement, or government official",NO,UNCLEAR,NO,NO,NO,NO
24157666,random,Written notification about debt,Didn't receive enough information to verify debt,NO,YES,NO,NO,NO,NO
24157762,stored_positive_arrest_threat,Took or threatened to take negative or legal action,Threatened to arrest you or take you to jail if you do not pay,NO,UNCLEAR,NO,NO,NO,NO
24178505,random,Attempts to collect debt not owed,Debt was result of identity theft,YES,NO,NO,NO,NO,NO
24196342,stored_neighbor_sued_no_notice,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,NO,YES,YES,NO,NO,NO
24199424,stored_neighbor_identity_theft,Attempts to collect debt not owed,Debt is not yours,NO,NO,YES,NO,NO,NO
24207269,stored_neighbor_insufficient_validation,Written notification about debt,Didn't receive notice of right to dispute,NO,NO,YES,NO,NO,NO
24207294,random,Attempts to collect debt not owed,Debt is not yours,UNCLEAR,NO,NO,NO,NO,NO
24363888,stored_far,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,NO,NO,UNCLEAR,NO,NO,NO
24402391,random,Attempts to collect debt not owed,Debt is not yours,UNCLEAR,UNCLEAR,NO,NO,NO,NO
24432150,stored_far,Attempts to collect debt not owed,Debt is not yours,YES,UNCLEAR,NO,NO,NO,NO
24441403,stored_neighbor_sued_no_notice,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,UNCLEAR,NO,NO,NO,NO,NO
24482149,stored_neighbor_insufficient_validation,Written notification about debt,Didn't receive notice of right to dispute,NO,NO,NO,NO,NO,NO
24506985,stored_neighbor_arrest_threat,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,NO,NO,NO,NO,NO,NO
24507687,stored_far,Attempts to collect debt not owed,Debt is not yours,NO,NO,UNCLEAR,NO,NO,NO
24524886,stored_positive_wrong_amount,False statements or representation,Attempted to collect wrong amount,NO,YES,YES,NO,NO,NO
24632105,stored_positive_insufficient_validation,Written notification about debt,Didn't receive enough information to verify debt,NO,YES,NO,NO,NO,NO
24664069,stored_far,Attempts to collect debt not owed,Debt is not yours,NO,NO,NO,NO,NO,NO
24732836,stored_neighbor_identity_theft,Attempts to collect debt not owed,Debt is not yours,NO,UNCLEAR,NO,NO,NO,NO
